the 3934 4.710361838166623
of 2291 2.7431212433247922
and 2278 2.727555736487943
to 2181 2.6114131085514503
a 1730 2.0714097559807465
i 1694 2.0283052755094713
he 1544 1.8487032735458226
you 1514 1.8127828731530928
that 1376 1.647549031346536
it 1355 1.6224047510716253
in 1266 1.515840896573194
was 1084 1.2979238008573002
his 996 1.1925572930386263
is 933 1.117124452213894
had 833 0.9973897842381283
with 704 0.8429320625493906
him 661 0.7914461553198113
for 612 0.7327761680116861
as 583 0.698053114298714
at 575 0.6884743408606527
have 566 0.6776982207428339
me 523 0.6262123135132547
not 495 0.5926866064800402
be 472 0.5651476328456142
her 439 0.5256351924136115
one 438 0.5244378457338538
she 431 0.5160564189755501
t 418 0.5004909121387007
dorian 417 0.499293565458943
but 401 0.48013601858282046
what 400 0.47893867190306283
are 392 0.46935989846500153
on 369 0.44182092483057545
there 339 0.40590052443784574
they 321 0.3843482842022079
all 312 0.37357216408438904
would 308 0.36878277736535836
my 303 0.3627960439665701
or 296 0.35441461720826645
s 272 0.32567829689408273
from 269 0.32208625685480974
said 262 0.3137048300965061
don 255 0.30532340333820257
were 251 0.30053401661917195
so 249 0.2981393232596566
lord 248 0.29694197657989896
if 244 0.2921525898608683
by 239 0.28616585646208004
henry 236 0.2825738164228071
been 236 0.2825738164228071
an 233 0.2789817763835341
life 232 0.2777844297037764
am 232 0.2777844297037764
about 231 0.2765870830240188
who 228 0.2729950429847458
no 226 0.2706003496252305
some 225 0.2694030029454728
when 219 0.2622189228669269
your 216 0.2586268828276539
like 213 0.25503484278838096
will 208 0.24904810938959268
them 203 0.24306137599080438
gray 202 0.2418640293110467
do 202 0.2418640293110467
this 192 0.22989056251347012
man 180 0.21552240235637826
we 178 0.21312770899686292
harry 178 0.21312770899686292
know 177 0.2119303623171053
never 176 0.21073301563734764
has 171 0.20474628223855934
over 169 0.20235158887904406
must 164 0.19636485548025573
into 159 0.19037812208146748
basil 158 0.1891807754017098
can 157 0.18798342872195214
out 157 0.18798342872195214
their 156 0.18678608204219452
any 154 0.18439138868267918
up 153 0.18319404200292153
how 153 0.18319404200292153
then 147 0.1760099619243756
more 137 0.16403649512679902
could 137 0.16403649512679902
now 134 0.16044445508752603
good 133 0.1592471084077684
its 132 0.15804976172801075
things 130 0.1556550683684954
own 130 0.1556550683684954
think 127 0.15206302832922244
which 126 0.1508656816494648
something 126 0.1508656816494648
see 125 0.14966833496970713
very 124 0.14847098828994948
come 124 0.14847098828994948
than 123 0.14727364161019182
us 122 0.14607629493043414
thing 120 0.14368160157091883
seemed 119 0.14248425489116118
should 117 0.14008956153164587
go 115 0.13769486817213056
only 113 0.13530017481261525
love 112 0.1341028281328576
time 110 0.13170813477334226
made 110 0.13170813477334226
always 110 0.13170813477334226
eyes 109 0.13051078809358463
face 107 0.1281160947340693
quite 107 0.1281160947340693
himself 106 0.12691874805431166
too 106 0.12691874805431166
want 105 0.12572140137455398
people 104 0.12452405469479634
really 103 0.12332670801503867
after 103 0.12332670801503867
room 102 0.12212936133528102
away 101 0.12093201465552335
down 101 0.12093201465552335
back 100 0.11973466797576571
did 100 0.11973466797576571
came 99 0.11853732129600805
night 98 0.11733997461625038
say 97 0.11614262793649274
cried 95 0.11374793457697742
looked 94 0.11255058789721978
world 93 0.1113532412174621
nothing 93 0.1113532412174621
tell 93 0.1113532412174621
why 92 0.11015589453770445
much 92 0.11015589453770445
work 91 0.10895854785794679
hallward 91 0.10895854785794679
look 91 0.10895854785794679
gutenberg 89 0.10656385449843146
little 87 0.10416916113891617
answered 87 0.10416916113891617
going 87 0.10416916113891617
mr 87 0.10416916113891617
through 86 0.1029718144591585
upon 86 0.1029718144591585
other 86 0.1029718144591585
yes 85 0.10177446777940086
project 85 0.10177446777940086
sibyl 85 0.10177446777940086
thought 84 0.10057712109964319
such 83 0.09937977441988553
shall 81 0.09698508106037022
once 80 0.09578773438061255
round 80 0.09578773438061255
ever 78 0.09339304102109726
art 77 0.09219569434133959
told 77 0.09219569434133959
most 77 0.09219569434133959
day 77 0.09219569434133959
our 76 0.09099834766158194
felt 76 0.09099834766158194
great 75 0.08980100098182428
before 75 0.08980100098182428
long 74 0.08860365430206661
men 74 0.08860365430206661
dear 73 0.08740630762230896
picture 72 0.08620896094255132
young 72 0.08620896094255132
again 72 0.08620896094255132
yet 72 0.08620896094255132
anything 70 0.08381426758303599
looking 70 0.08381426758303599
everything 69 0.08261692090327834
lady 69 0.08261692090327834
moment 68 0.08141957422352068
soul 68 0.08141957422352068
well 67 0.08022222754376301
door 67 0.08022222754376301
those 66 0.07902488086400537
women 66 0.07902488086400537
hand 66 0.07902488086400537
let 66 0.07902488086400537
two 64 0.07663018750449005
being 63 0.0754328408247324
make 63 0.0754328408247324
old 63 0.0754328408247324
went 63 0.0754328408247324
across 61 0.07303814746521707
might 61 0.07303814746521707
asked 61 0.07303814746521707
afraid 61 0.07303814746521707
passed 60 0.07184080078545942
every 60 0.07184080078545942
table 59 0.07064345410570178
white 58 0.0694461074259441
wonderful 58 0.0694461074259441
vane 58 0.0694461074259441
where 57 0.06824876074618645
lips 57 0.06824876074618645
tm 57 0.06824876074618645
sir 56 0.0670514140664288
beauty 55 0.06585406738667113
left 55 0.06585406738667113
better 54 0.06465672070691347
turned 54 0.06465672070691347
got 54 0.06465672070691347
house 54 0.06465672070691347
head 53 0.06345937402715583
right 53 0.06345937402715583
portrait 52 0.06226202734739817
course 52 0.06226202734739817
hands 52 0.06226202734739817
lad 52 0.06226202734739817
even 51 0.06106468066764051
here 51 0.06106468066764051
